12488	drilling for oil	
1249	cement manufacture	
12511	aggregate extraction	
12514	mechanical industry	
12525	timber producing chain	
12528	packing industry	
12576	biofiltration	
12583	dechlorination	
12586	engineering	http://purl.obolibrary.org/obo/SCTID_106269003
12587	methanisation	
12599	aerobic treatment	
126	advertisement	
12600	anaerobic treatment	
12601	biological treatment	http://purl.obolibrary.org/obo/SCTID_413648008
12605	physicochemical treatment	
12606	physical treatment	
12607	primary treatment	
12608	secondary treatment	
12609	tertiary treatment	
12611	vitrification	
1262	centrifugation	http://purl.obolibrary.org/obo/MESH_E05.181
12656	underground quarry	
1266	ceramics	http://purl.obolibrary.org/obo/MESH_D25.264
12665	geotechnics	
12666	rock mechanics	
1267	ceramics industry	
12676	bush clearing	
12677	prevention of forest fires	
12687	flood protection	
12711	land restoration in mountain areas	
12717	soil stability	
12721	volcanology	
12746	antiseismic regulation	
12763	civil safety	
12764	industrial safety	
12778	risk exposure	
12783	hazard area	
12784	technological accident	
1279	Chagas' disease	http://purl.obolibrary.org/obo/DOID_12140
12790	ecocatastrophe	
12793	nuclear hazard	
1280	chain management	
12807	major risk installation	
12808	dangerous installation	
12814	biotechnological hazard	
12816	nuclear risk	
12819	dangerous materials transport	
12849	disaster zone	
1286	change in value	
12861	danger analysis	
12866	preventive information	
12872	risk exposure plan	
1288	channelling	http://purl.obolibrary.org/obo/ENVO_00000395
12887	damage insurance	
12889	pollution insurance	
12893	water damage	
12898	damage assessment	
129	product advertising	
1290	charcoal	http://purl.obolibrary.org/obo/MESH_D01.268.150.150
12905	compensation for damage	
1291	negotiable charge	
1292	map chart	
12977	patent	http://purl.obolibrary.org/obo/SCTID_56116003
1298	chemical analysis	
12982	press release	
12985	speech	http://purl.obolibrary.org/obo/MESH_F01.145.209.908.677
1299	chemical composition	
12994	environmental study	
13	absorption (exposure)	
13000	cinematographic film	
13001	documentary film	
13002	flora (document)	
13021	parliamentary report	
13025	statutory text	
13026	thesis	
1303	chemical decontamination	
13040	CD-ROM	
13041	information centre	
1305	chemical engineering	http://purl.obolibrary.org/obo/SCTID_106265009
13053	technical information	
1306	chemical fallout	
13060	information network	
1307	chemical fertiliser	
13077	assay	http://purl.obolibrary.org/obo/ExO_0000064
13088	method	http://purl.obolibrary.org/obo/ExO_0000090
13098	iron and steel industry	
1310	chemical industry	
13100	urban habitat	
13102	land management and planning	
13104	rural habitat	
13106	groundwater quality	
13107	target setting	
1311	chemical installation	
13115	land tax	
13117	open lawn	
1312	chemical oceanography	
13120	human habitat	
13121	urban concentration	
13122	home garden	
13123	photography	http://purl.obolibrary.org/obo/MESH_E01.370.350.600
13124	bottle cap	
13127	iron scrap	
13136	agricultural structure	http://purl.obolibrary.org/obo/ENVO_01000311
13137	budget policy	
1314	chemical pest control	
13145	Community finance	
13146	organisation of the legal system	
13147	rights	http://purl.obolibrary.org/obo/SCTID_225794002
13148	economic structure	
13149	distributive trade	
13150	monetary relations	
13151	monetary economics	
13152	free movement of capital	
13154	social framework	
13156	social protection	
13157	organisation of teaching	
13159	business organisation	
1316	chemical plant	
13160	business classification	
13161	legal form of organisations	
13164	cultivation of agricultural land	
13165	means of agricultural production	
13167	processed agricultural produce	
13168	agri-foodstuff	
1317	chemical policy	
13170	economic geography	
13177	credit	
13178	freedom	
13179	industrial structure	
1318	chemical pollutant	
13182	stock (trade)	
13183	sterilisation (biological)	
13184	environmental economics of firms	
13186	yield (agricultural)	
13187	environmental problem solving	
13188	fodder plant	
13189	industrial plant (organism)	
1319	chemical pollution	
13190	textile plant	
13192	agricultural real estate	
13193	agricultural holding	
13194	type of tenure	
13196	petrochemical	
13197	speciality chemical	
13198	protein product	
13199	processed foodstuff	
132	aeration	
1320	chemical process	http://purl.obolibrary.org/obo/SCTID_24014001
13200	convenience food	http://purl.obolibrary.org/obo/SCTID_227998008
13202	mining product	
13205	root crop	
13207	cultivation system	
13209	crop production	
13210	fisheries structure	
13211	fishing ground	
13212	coal industry	
13213	energy industry	
13214	communications industry	
13215	information technology industry	
13216	vacuum industry	
13217	preparation for market	
13218	precision engineering	
13219	materials technology	
1322	chemical property	
13221	audiovisual equipment	
13222	machinery	
13223	mechanical equipment	
13224	pressure equipment	
13225	thermal equipment	
13226	industrial manufacturing	
13227	size of business	
13228	business activity	
13229	branch of activity	
13232	building service	
13233	mode of transportation	
13234	destination of transport	
13236	degradation of the environment	
13237	Community budget	
13238	economic support	
13239	accounting system	
1324	chemical reaction	
13240	economic forecasting	
13241	customs tariff	
13242	commercial transaction	
13244	pay policy	
13245	European Monetary System	
13246	money market	
13247	exchange policy	
13248	credit policy	
13249	public debt	
13250	tax on consumption	
13251	tax on capital	
13252	income tax	
13253	taxation policy	
13254	farm price	
13255	market price	
13256	transport cost	
13257	prices policy	
13258	economic concentration	
